vuosi;kunta;xyind;v_yht;v_0_6;v_7_14;v_15_17;v_18_29;v_30_49;v_50_64;v_65_74;v_75
2019;635;3538756806375;8;1;2;0;0;4;1;0;0
2019;635;3541256806375;6;0;1;2;0;3;0;0;0
2019;635;3631256806375;1;0;0;0;1;0;0;0;0
2019;635;3688756806375;1;0;0;0;0;1;0;0;0
2019;635;3716256806375;2;0;0;0;1;1;0;0;0
2019;635;3751256806375;10;0;2;0;1;4;2;1;0
2019;790;2826256832375;3;0;0;0;0;0;0;1;2
2019;790;2841256832375;1;0;0;0;0;1;0;0;0
2019;790;2851256832375;2;0;0;0;0;0;2;0;0
2019;790;2853756832375;3;1;0;0;0;1;0;1;0
2019;790;2863756832375;1;0;0;0;0;0;0;1;0
2019;790;2866256832375;2;0;0;0;0;2;0;0;0
2019;790;2723756832625;1;0;0;0;0;0;0;1;0
2019;790;2728756832625;4;0;1;0;1;1;1;0;0
2019;790;2756256832625;5;0;0;0;1;2;2;0;0
2019;790;2768756832625;11;2;1;0;0;2;4;1;1
2019;790;2773756832625;3;1;0;0;0;2;0;0;0
2019;790;2831256832625;2;0;0;0;0;2;0;0;0
2019;790;2848756832625;3;0;0;0;0;1;2;0;0
2019;790;2851256832625;1;0;0;0;0;0;0;0;1
2019;790;2856256832625;7;2;2;0;0;3;0;0;0
2019;790;2718756832875;1;0;0;0;0;0;1;0;0
2019;790;2721256832875;2;0;0;0;0;1;1;0;0
2019;790;2726256832875;10;2;3;0;3;2;0;0;0
2019;790;2728756832875;2;0;0;0;0;0;1;1;0
2019;790;2733756832875;3;1;1;0;0;1;0;0;0
2019;790;2753756832875;1;0;0;0;0;0;0;0;1
2019;790;2766256832875;2;0;0;0;0;0;1;1;0
2019;790;2768756832875;2;0;0;0;0;1;1;0;0
2019;790;2858756832875;6;0;2;0;0;2;1;1;0
2019;790;2861256832875;4;0;0;0;0;2;2;0;0
2019;790;2863756832875;3;0;0;0;0;0;0;0;3
2019;790;2731256833125;2;0;0;0;0;1;1;0;0
2019;790;2736256833125;3;2;0;0;0;1;0;0;0
2019;790;2766256833125;2;0;0;0;0;0;1;0;1
2019;790;2803756833125;1;0;0;0;0;0;0;0;1
2019;790;2828756833125;2;0;0;0;0;0;0;2;0
2019;790;2753756833375;9;0;0;0;0;3;2;4;0
2019;790;2758756833375;2;0;0;0;0;0;1;0;1
2019;790;2763756833375;4;0;0;0;0;0;1;3;0
2019;790;2766256833375;7;1;2;1;0;1;2;0;0
2019;790;2781256833375;2;0;0;0;0;0;2;0;0
2019;790;2828756833375;5;0;2;0;0;1;1;0;1
2019;790;2876256833375;8;0;4;0;0;3;0;0;1
2019;790;2758756833625;3;0;0;0;0;0;1;0;2
2019;790;2761256833625;2;0;0;0;0;2;0;0;0
2019;790;2763756833625;1;0;0;0;0;0;0;0;1
2019;790;2743756833875;1;0;0;0;0;0;0;0;1
2019;790;2758756833875;9;1;1;0;2;3;2;0;0
2019;790;2873756833875;1;0;0;0;0;1;0;0;0
2019;790;2741256834125;2;0;0;0;0;0;0;2;0
2019;790;2748756834125;3;0;0;0;0;1;1;0;1
2019;790;2756256834125;2;0;0;0;0;0;0;1;1
2019;790;2758756834125;1;0;0;0;1;0;0;0;0
2019;790;2841256834125;1;0;0;0;0;0;0;1;0
2019;790;2883756834125;7;1;2;0;0;2;2;0;0
2019;790;2886256834125;2;0;0;0;0;0;0;2;0
2019;790;2906256834125;1;0;0;0;0;0;0;0;1
2019;790;2911256834125;4;0;0;0;0;1;2;0;1
