mun;scenario;year;kmuoto;kvoima_bensiini;kvoima_etanoli;kvoima_diesel;kvoima_kaasu;kvoima_phev_b;kvoima_phev_d;kvoima_ev;kvoima_vety;kvoima_muut
837;wemh;2021;kauto;0.000;0.000;0.991;0.003;0.000;0.000;0.003;0.000;0.002
837;wemh;2022;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemh;2022;bussi;0.000;0.000;0.908;0.007;0.000;0.000;0.085;0.000;0.000
837;wemh;2022;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemh;2022;hlauto;0.563;0.003;0.362;0.006;0.040;0.003;0.024;0.000;0.000
837;wemh;2022;muu;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000
837;wemh;2022;pauto;0.015;0.000;0.974;0.004;0.001;0.000;0.006;0.000;0.000
837;wemh;2022;kauto;0.000;0.000;0.992;0.008;0.000;0.000;0.000;0.000;0.000
837;wemh;2023;jalkapyora;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
837;wemh;2023;bussi;0.000;0.000;0.869;0.008;0.000;0.000;0.122;0.000;0.000
837;wemh;2023;raide;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000
837;wemh;2023;hlauto;0.545;0.003;0.346;0.006;0.051;0.003;0.045;0.000;0.000
