mun;year;erpien;rivita;askert
562;2047;47.4586926162;44.1998873694;43.82531205
562;2048;47.4824219607;44.2219873083;43.8472247091
562;2049;47.5061631747;44.2440983049;43.8691483152
562;2050;47.5299162582;44.2662203469;43.8910828929
108;2017;44.46;41.418;41.067
108;2018;44.49393585;41.438709;41.0875335
108;2019;44.516182815;41.4594283545;41.1080772726
108;2020;44.5384409067;41.4801580635;41.1286313061
108;2021;44.5607101251;41.5008981504;41.1491956239
108;2022;44.5829904819;41.5216485918;41.1697702143
108;2023;44.6052819771;41.5424094228;41.1903551007
108;2024;44.6275846224;41.56318062;41.2109502831
108;2025;44.6498984178;41.5839622185;41.2315557615
108;2026;44.6722233633;41.6047541949;41.2521715359
108;2027;44.6945594706;41.6255565726;41.272797618
108;2028;44.7169067514;41.6463693516;41.2934340195
108;2029;44.7392652057;41.6671925319;41.3140807404
108;2030;44.7616348452;41.6880261369;41.3347377807
108;2031;44.7840156582;41.7088701432;41.3554051404
108;2032;44.8064076681;41.7297245859;41.3760828429
108;2033;44.8288108749;41.7505894416;41.3967708882
108;2034;44.8512252786;41.7714647337;41.4174692763
108;2035;44.8736508909;41.7923504739;41.4381780072
108;2036;44.8960877118;41.8132466505;41.4588971043
108;2037;44.918535753;41.8341532752;41.4796265442
108;2038;44.9409950262;41.855070348;41.500366362
108;2039;44.9634655197;41.8759978806;41.521116546
108;2040;44.9859472569;41.8969358847;41.5418770962
108;2041;45.0084402261;41.9178843486;41.562648036
108;2042;45.0309444507;41.9388432957;41.5834293654
108;2043;45.053459919;41.9598127143;41.6042210844
108;2044;45.0759866544;41.9807926161;41.625023193
108;2045;45.0985246452;42.0017830128;41.6458357029
108;2046;45.1210739031;42.0227839044;41.6666586141
108;2047;45.1436344398;42.0437953026;41.68749195
108;2048;45.1662062553;42.0648171957;41.7083356989
108;2049;45.1887893613;42.0858496071;41.7291898608
108;2050;45.2113837578;42.1068925251;41.7500544591
