scenario;rakv;rakennus_tyyppi;vesi_kwh_m2
eu80;2042;liiken;2
eu80;2042;hoito;26
eu80;2042;kokoon;6
eu80;2042;opetus;8
eu80;2042;teoll;7
eu80;2042;varast;4
eu80;2042;muut;7
eu80;2043;erpien;27
eu80;2043;rivita;29
eu80;2043;askert;26
eu80;2043;liike;33
eu80;2043;tsto;3
eu80;2043;liiken;2
eu80;2043;hoito;26
eu80;2043;kokoon;6
eu80;2043;opetus;8
eu80;2043;teoll;7
eu80;2043;varast;4
eu80;2043;muut;7
eu80;2044;erpien;27
eu80;2044;rivita;29
eu80;2044;askert;26
eu80;2044;liike;33
eu80;2044;tsto;3
eu80;2044;liiken;2
eu80;2044;hoito;26
eu80;2044;kokoon;6
eu80;2044;opetus;8
eu80;2044;teoll;7
eu80;2044;varast;4
eu80;2044;muut;7
eu80;2045;erpien;27
eu80;2045;rivita;29
eu80;2045;askert;26
eu80;2045;liike;33
eu80;2045;tsto;3
eu80;2045;liiken;2
eu80;2045;hoito;26
eu80;2045;kokoon;6
eu80;2045;opetus;8
eu80;2045;teoll;7
eu80;2045;varast;4
eu80;2045;muut;7
eu80;2046;erpien;27
eu80;2046;rivita;29
eu80;2046;askert;26
eu80;2046;liike;33
eu80;2046;tsto;3
eu80;2046;liiken;2
eu80;2046;hoito;26
eu80;2046;kokoon;6
eu80;2046;opetus;8
eu80;2046;teoll;7
eu80;2046;varast;4
eu80;2046;muut;7
eu80;2047;erpien;27
eu80;2047;rivita;29
eu80;2047;askert;26
eu80;2047;liike;33
eu80;2047;tsto;3
eu80;2047;liiken;2
eu80;2047;hoito;26
eu80;2047;kokoon;6
eu80;2047;opetus;8
eu80;2047;teoll;7
eu80;2047;varast;4
eu80;2047;muut;7
eu80;2048;erpien;27
eu80;2048;rivita;29
eu80;2048;askert;26
eu80;2048;liike;33
eu80;2048;tsto;3
eu80;2048;liiken;2
eu80;2048;hoito;26
eu80;2048;kokoon;6
eu80;2048;opetus;8
eu80;2048;teoll;7
eu80;2048;varast;4
eu80;2048;muut;7
eu80;2049;erpien;27
eu80;2049;rivita;29
eu80;2049;askert;26
eu80;2049;liike;33
eu80;2049;tsto;3
eu80;2049;liiken;2
eu80;2049;hoito;26
eu80;2049;kokoon;6
eu80;2049;opetus;8
eu80;2049;teoll;7
eu80;2049;varast;4
eu80;2049;muut;7
eu80;2050;erpien;27
eu80;2050;rivita;29
eu80;2050;askert;26
eu80;2050;liike;33
eu80;2050;tsto;3
eu80;2050;liiken;2
eu80;2050;hoito;26
eu80;2050;kokoon;6
eu80;2050;opetus;8
eu80;2050;teoll;7
eu80;2050;varast;4
eu80;2050;muut;7
kasvu;9999;erpien;29
kasvu;9999;rivita;31
kasvu;9999;askert;30
kasvu;9999;liike;34
kasvu;9999;tsto;5
kasvu;9999;liiken;4
kasvu;9999;hoito;27
kasvu;9999;kokoon;6
kasvu;9999;opetus;9
kasvu;9999;teoll;0
kasvu;9999;varast;4
kasvu;9999;muut;8
kasvu;1920;erpien;29
kasvu;1920;rivita;35
kasvu;1920;askert;35
kasvu;1920;liike;35
kasvu;1920;tsto;5
kasvu;1920;liiken;4
kasvu;1920;hoito;27
kasvu;1920;kokoon;6
kasvu;1920;opetus;10
kasvu;1920;teoll;0
kasvu;1920;varast;4
kasvu;1920;muut;8
kasvu;1929;erpien;29
kasvu;1929;rivita;35
kasvu;1929;askert;35
kasvu;1929;liike;35
kasvu;1929;tsto;5
kasvu;1929;liiken;4
kasvu;1929;hoito;27
kasvu;1929;kokoon;6
kasvu;1929;opetus;10
kasvu;1929;teoll;0
kasvu;1929;varast;4
kasvu;1929;muut;8
kasvu;1939;erpien;29
kasvu;1939;rivita;35
kasvu;1939;askert;35
kasvu;1939;liike;35
